question,answer,accuracy,relevance,conciseness,helpfulness,overall
What is the minimum initial deposit required to open a personal savings account at VietBank?,"The minimum initial deposit required to open a personal savings account at VietBank is 500,000 VND.",2,3,2,4,2.75
What is the annual interest rate for VietBank's Standard Savings account?,The annual interest rate for VietBank's Standard Savings account is 4.5%.,4,4,2,2,3.0
How many physical branches does VietBank currently operate across Vietnam?,VietBank currently operates more than 250 branches across Vietnam.,3,3,3,3,3.0
What is the maximum credit limit for a VietBank Platinum credit card?,The maximum credit limit for a VietBank Platinum credit card is 1 billion VND (1B VND).,4,2,3,3,3.0
What is the session timeout duration for VietBank's online banking?,The session timeout duration for VietBank's online banking is 5 minutes of inactivity.,3,2,3,3,2.75
What is the fee for interbank transfers via Napas?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Rate spread ±0.5% for < 10,000 USD.",3,2,3,2,2.5
What is the minimum payment required for VietBank credit cards?,"The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.",3,3,2,2,2.5
How long does the credit assessment process take for a loan application?,The credit assessment process for a loan application takes 3-5 business days.,4,3,3,3,3.25
What is the interest rate for VietBank's Education Loan?,"Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).",2,4,3,3,3.0
What is the annual fee for a VietBank Gold credit card?,"The annual fee for a VietBank Gold credit card is 500,000 VND.",2,3,2,2,2.25
What is the cashback rate for VietBank Signature credit card?,"Based on VietBank's documentation, VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Signature - 3,000,000 VND, 1-5B, 2.0%. Interest on revolving balance: 1.5-2.5% per month.",3,2,3,2,2.5
How many ATMs does VietBank have?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.",3,4,3,2,3.0
What is the minimum investment for VietBank mutual funds?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Current Account - 0.1% interest, unlimited transactions.",4,3,3,1,2.75
What are VietBank branch operating hours on weekdays?,VietBank currently operates more than 250 branches across Vietnam.,5,2,2,3,3.0
What is the late payment fee for VietBank credit cards?,"Based on VietBank's documentation, Late payment fee: 4% of minimum payment amount. Payment due date: 15 days after statement date. VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback.",3,3,3,2,2.75
What is the target annual return for VietBank Growth Fund?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.",2,3,4,2,2.75
How many failed login attempts cause account lockout?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months).",3,3,4,2,3.0
What is the OTP validity period?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Late payment fee: 4% of minimum payment amount.",4,4,3,4,3.75
What is the maximum amount for individual international remittance?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. International transfers require dual authorization.",5,1,2,2,2.5
How often must customer information be updated for standard accounts?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.",4,4,3,3,3.5
What encryption standard does VietBank use for transactions?,"Based on VietBank's documentation, Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. The account opening process typically takes 15-30 minutes at any VietBank branch.",2,2,2,3,2.25
What is the minimum deposit for Structured Deposits?,"The minimum initial deposit required to open a personal savings account at VietBank is 500,000 VND.",3,3,3,3,3.0
How long are transaction records retained?,"Based on VietBank's documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). Passwords: min 8 chars, change every 90 days.",2,2,3,2,2.25
What is the current State Bank of Vietnam base rate?,"Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting.",3,3,3,3,3.0
What is the billing cycle for VietBank credit cards?,"Based on VietBank's documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).",3,4,3,2,3.0
"If a customer has a Grade A credit score, what home loan interest rate range would they qualify for?","Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. 2) Credit assessment (3-5 business days).",3,4,2,4,3.25
"A customer makes a credit card purchase of 10,000,000 VND and only pays the minimum. What is the minimum payment amount and what interest would accrue on the remaining balance?","The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.",3,4,3,3,3.25
"Why would a customer with over 400,000,000 VND in transactions face additional scrutiny compared to a regular customer?","Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio.",4,3,3,3,3.25
"If a loan becomes 100 days overdue, what classification would it receive and what is the bank's provision rate and collection action?","Based on VietBank's documentation, 2) Credit assessment (3-5 business days). 4) Loan committee approval. Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.",3,4,2,2,2.75
Compare the total annual cost of holding a Gold vs Platinum credit card assuming no transactions.,"Based on VietBank's documentation, Signature - 3,000,000 VND, 1-5B, 2.0%. Gold - 500,000 VND, 100-300M, 1.0%. Billing cycle: 30 days.",2,4,3,3,3.0
