question,ground_truth,contexts,evolution_type
What is the minimum initial deposit required to open a personal savings account at VietBank?,"The minimum initial deposit required is 500,000 VND.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address, Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting.']",simple
What is the annual interest rate for VietBank's Standard Savings account?,The Standard Savings account offers 4.5% annual interest.,"['Standard Savings - 4.5% annual interest, no minimum balance after opening.']",simple
How many physical branches does VietBank currently operate across Vietnam?,VietBank currently operates more than 250 branches across Vietnam nationwide.,"['Branch network: 250+ branches nationwide. ATM network: 1,500+ ATMs.']",simple
What is the maximum credit limit for a VietBank Platinum credit card?,The maximum credit limit for a Platinum card is 1 billion VND.,"['Platinum | 1,500,000 VND | 300M-1B VND | 1.5%']",simple
What is the session timeout duration for VietBank's online banking?,The session timeout is 5 minutes of inactivity.,['Session timeout: Auto-logout after 5 minutes of inactivity. Session timeout: 5 minutes of inactivity.'],simple
What is the fee for interbank transfers via Napas?,"The fee for interbank transfers via Napas is 5,500 VND per transaction.","['Interbank transfer (Napas) | 5,500 VND per transaction']",simple
What is the minimum payment required for VietBank credit cards?,"The minimum payment is 5% of outstanding balance or 500,000 VND, whichever is higher.","['Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).']",simple
How long does the credit assessment process take for a loan application?,The credit assessment takes 3-5 business days.,['Credit assessment (3-5 business days). Collateral valuation if applicable. Loan committee approval.'],simple
What is the interest rate for VietBank's Education Loan?,The Education Loan has a preferential rate of 6.5%.,"['Education Loan: Up to 200,000,000 VND, 6.5% preferential rate.']",simple
What is the annual fee for a VietBank Gold credit card?,"The annual fee for a Gold credit card is 500,000 VND.","['Gold | 500,000 VND | 100-300M VND | 1.0%']",simple
What is the cashback rate for VietBank Signature credit card?,The Signature credit card offers 2.0% cashback.,"['Signature | 3,000,000 VND | 1-5B VND | 2.0%']",simple
How many ATMs does VietBank have?,"VietBank has 1,500+ ATMs.","['ATM network: 1,500+ ATMs.']",simple
What is the minimum investment for VietBank mutual funds?,"The minimum investment for mutual funds is 1,000,000 VND.","['Minimum investment: 1,000,000 VND. No lock-up period for open-ended funds.']",simple
What are VietBank branch operating hours on weekdays?,Branches operate Monday-Friday from 8:00 to 16:30.,"['Branches: Monday-Friday 8:00-16:30, Saturday 8:00-11:30.']",simple
What is the late payment fee for VietBank credit cards?,The late payment fee is 4% of the minimum payment amount.,['Late payment fee: 4% of minimum payment amount.'],simple
What is the target annual return for VietBank Growth Fund?,The VietBank Growth Fund targets 15% annual return.,"['VietBank Growth Fund: Equity-focused, target 15% annual return.']",simple
How many failed login attempts cause account lockout?,Account lockout occurs after 5 failed attempts.,['Account lockout after 5 failed attempts.'],simple
What is the OTP validity period?,OTP validity is 3 minutes.,['OTP validity: 3 minutes.'],simple
What is the maximum amount for individual international remittance?,"The maximum individual remittance is 50,000 USD per transaction.","['Maximum individual remittance: 50,000 USD per transaction.']",simple
How often must customer information be updated for standard accounts?,Customer information must be updated every 2 years for standard accounts.,['Every 2 years for standard accounts. Every year for high-risk accounts.'],simple
What encryption standard does VietBank use for transactions?,VietBank uses TLS 1.3 encryption for all transactions.,['All transactions encrypted with TLS 1.3.'],simple
What is the minimum deposit for Structured Deposits?,"The minimum deposit for Structured Deposits is 500,000,000 VND.","['Minimum deposit: 500,000,000 VND.']",simple
How long are transaction records retained?,Transaction records are retained for a minimum of 5 years.,['Transaction records retained for minimum 5 years.'],simple
What is the current State Bank of Vietnam base rate?,The current State Bank of Vietnam base rate is 4.5%.,['Vietnam State Bank base rate (currently 4.5%).'],simple
What is the billing cycle for VietBank credit cards?,The billing cycle is 30 days.,['Billing cycle: 30 days. Payment due date: 15 days after statement date.'],simple
"If a customer has a Grade A credit score, what home loan interest rate range would they qualify for?","A Grade A customer (score > 750) receives 0.5-1.0% below standard rates. Since home loan standard rate is 7.5-9%, they would qualify for approximately 6.5-8.5%.","['Home Loan: Up to 5,000,000,000 VND, 7.5-9% interest rate, term up to 25 years.', 'Customers with Grade A credit (score > 750) receive preferential rates 0.5-1.0% below standard.']",reasoning
"A customer makes a credit card purchase of 10,000,000 VND and only pays the minimum. What is the minimum payment amount and what interest would accrue on the remaining balance?","Minimum payment is 5% of 10,000,000 = 500,000 VND (meets the 500,000 VND floor). The remaining 9,500,000 VND would accrue interest at 1.5-2.5% per month, which is 142,500-237,500 VND.","['Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).', 'Interest on revolving balance: 1.5-2.5% per month.']",reasoning
"Why would a customer with over 400,000,000 VND in transactions face additional scrutiny compared to a regular customer?","Cash transactions ≥ 400,000,000 VND require reporting to State Bank under AML regulations. Additionally, such customers require Enhanced Due Diligence (EDD) for high-value transactions exceeding this threshold.","['Cash transactions ≥ 400,000,000 VND require reporting to State Bank.', 'EDD is required for: High-value transactions exceeding 400,000,000 VND.']",reasoning
"If a loan becomes 100 days overdue, what classification would it receive and what is the bank's provision rate and collection action?","At 100 days overdue, the loan is classified as 'Doubtful' with a 50% provision rate. The collection team would be engaged, and legal proceedings may commence since it's past 91 days.","['91-180 days: Doubtful classification, 50% provision rate.', 'Day 91+: Legal proceedings may commence.']",reasoning
Compare the total annual cost of holding a Gold vs Platinum credit card assuming no transactions.,"Gold card annual fee is 500,000 VND. Platinum annual fee is 1,500,000 VND. The Platinum costs 1,000,000 VND more per year but includes airport lounge access and higher cashback (1.5% vs 1.0%).","['Gold | 500,000 VND | 100-300M VND | 1.0%', 'Platinum | 1,500,000 VND | 300M-1B VND | 1.5%', 'Airport lounge access (Platinum and above).']",reasoning
A customer wants to restructure a 5-year loan. What is the maximum extended term they can receive and what other options are available?,"The maximum extension is 50% of the original 5-year term, so 2.5 additional years (total 7.5 years). Other options include interest rate adjustment, grace period up to 6 months for principal payment, and partial debt forgiveness in exceptional cases.","['Extension of loan term (up to 50% of original term).', 'Interest rate adjustment. Grace period for principal payment (up to 6 months). Partial debt forgiveness (exceptional cases, requires board approval).']",reasoning
"If VietBank detects a security breach, what are the notification deadlines for different stakeholders?","State Bank must be notified within 24 hours, customers within 72 hours. Remediation measures must be in place within 30 days, followed by a post-incident review.",['Immediate containment and investigation. Customer notification within 72 hours. State Bank notification within 24 hours. Remediation measures within 30 days.'],reasoning
Why might a customer's account be restricted even if they haven't done anything wrong?,"A customer's account may be restricted if they fail to update their KYC information within the required timeframe (every 2 years for standard accounts, yearly for high-risk). Failure to update results in account restrictions until verification is completed.","['Customers must update their information every 2 years for standard accounts.', 'Failure to update may result in account restrictions until verification is completed.']",reasoning
Calculate the approximate monthly interest earned on a Premium Savings account with the minimum required balance.,"Premium Savings requires minimum 100,000,000 VND at 5.8% annual rate. Monthly interest = 100,000,000 × 5.8% / 12 ≈ 483,333 VND.","['Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND.']",reasoning
What happens to a suspicious transaction report if a bank staff member informs the customer about it?,Informing the customer about a SAR would violate the tipping-off prohibition policy. Staff must file the SAR within 24 hours and the customer must NOT be informed. This is a compliance violation that could have legal consequences.,"['Staff must file internal Suspicious Activity Report (SAR) within 24 hours.', 'Customer must NOT be informed of the report (tipping-off prohibition).']",reasoning
"If a customer wants to invest 50,000,000 VND with the lowest risk, which VietBank product should they choose and why?","The VietBank Money Market Fund offers the lowest risk with a target 5% annual return. Alternatively, government bonds are tax-exempt and capital protected. The Money Market Fund is more liquid with no lock-up period.","['VietBank Money Market Fund: Low risk, target 5% annual return.', 'Government bonds: Available terms 2-15 years, yield 2.5-4.8%, tax-exempt interest income.', 'Minimum investment: 1,000,000 VND. No lock-up period for open-ended funds.']",reasoning
"A transaction of 60,000,000 VND is attempted through the mobile app. What security measures will be triggered?","Since the transaction exceeds 50,000,000 VND, OTP verification will be required. Additionally, the real-time fraud scoring system will evaluate the transaction, and the AI-powered transaction monitoring will check for suspicious patterns.","['Domestic transfers > 50,000,000 VND require OTP.', 'Real-time fraud detection: AI-powered transaction monitoring.', 'Two-factor authentication (2FA): OTP via SMS or authenticator app.']",reasoning
